ID,Type,Name,Count
207,-,Camera,12
208,C,Book,6
209,-,Camera,14
210,A,Fantacy,10
211,B,Python,12
212,N,Doll,11
213,N,Sony,10
214,-,Doll,3
215,C,Openmpi,5
216,B,Apple,7
217,B,Photo,3000000
218,C,Apple,2
219,-,Openmpi,10
220,N,Doll,11
221,N,Python,15
222,B,Photo,1
223,B,Python,15
224,-,Free,3000000
225,B,Doll,15
226,A,Free,14
227,-,Book,13
228,-,Fantacy,15
229,N,Camera,7
230,B,Apple,1092109
231,N,Free,1092109
232,-,Camera,23912
233,C,Photo,14
234,A,Camera,3000000
235,-,Camera,15
236,-,Openmpi,14
237,C,Doll,14
238,C,Photo,11
239,B,Free,3
240,C,Photo,2
241,-,Free,7
242,A,Camera,1092109
243,N,Free,15
244,-,Apple,2
245,C,Fantacy,1092109
246,C,Free,9
247,N,Book,5
248,N,Sony,1092109
249,C,Sony,6
250,-,Fantacy,10
251,-,Doll,5
252,C,Sony,15
253,C,Book,23912
254,-,Photo,9
255,A,Camera,66351737
256,N,Camera,66351737
257,B,Camera,6
258,C,Book,9
259,N,Book,1092109
260,-,Sony,8
261,N,Photo,23912
262,A,Camera,5
263,A,Photo,2
264,N,Fantacy,14
265,A,Python,13
266,B,Book,1092109
267,N,Camera,3
268,A,Sony,5
269,C,Sony,1
270,B,Openmpi,14
271,-,Fantacy,11
272,C,Python,6
273,B,Photo,10
274,A,Python,3
275,A,Fantacy,15
276,-,Camera,3
277,-,Book,1
278,-,Book,6
279,A,Camera,6
280,A,Apple,5
281,C,Fantacy,8
282,N,Apple,3000000
283,-,Photo,7
284,-,Python,13
285,-,Python,1
286,C,Python,3000000
287,B,Apple,1092109
288,-,Sony,5
289,N,Openmpi,23912
290,C,Python,3000000
291,B,Book,11
292,N,Doll,3
293,A,Sony,2
294,C,Fantacy,6
295,C,Fantacy,1092109
296,N,Openmpi,8
297,B,Sony,1092109
298,B,Camera,8
299,-,Openmpi,10
300,A,Book,9
301,-,Python,66351737
302,B,Free,13
303,C,Sony,8
304,N,Sony,1092109
305,A,Python,6
306,-,Free,3000000
307,A,Free,10
308,A,Fantacy,13
309,A,Book,15
310,-,Camera,7
311,N,Python,12
312,C,Apple,7
313,B,Python,3000000
314,N,Doll,12
315,B,Book,37298
316,-,Fantacy,8
317,B,Doll,2
318,N,Python,23912
319,A,Free,6
320,B,Sony,6
321,A,Python,1
322,B,Free,14
323,B,Sony,1092109
324,A,Python,66351737
325,A,Python,3
326,A,Photo,66351737
327,C,Openmpi,3000000
328,-,Apple,13
329,A,Openmpi,6
330,B,Openmpi,1092109
331,-,Photo,4
332,N,Sony,4
333,B,Sony,12
334,N,Book,13
335,-,Doll,4
336,N,Python,9
337,B,Sony,3
338,B,Python,7
339,-,Openmpi,23912
340,N,Free,1
341,-,Python,2
342,N,Photo,11
343,B,Python,3000000
344,C,Openmpi,14
345,C,Openmpi,5
346,-,Photo,6
347,C,Free,3
348,B,Apple,10
349,B,Doll,12
350,B,Doll,9
351,C,Sony,3
352,B,Apple,1092109
353,-,Camera,13
354,A,Free,13
355,A,Apple,1092109
356,N,Book,66351737
357,C,Python,1
358,C,Openmpi,11
359,C,Free,10
360,C,Photo,1092109
361,C,Openmpi,10
362,B,Apple,1
363,-,Photo,3000000
364,-,Book,8
365,A,Apple,3
366,C,Fantacy,15
367,C,Openmpi,13
368,B,Fantacy,3
369,B,Openmpi,13
370,C,Doll,8
371,C,Python,11
372,A,Book,37298
373,A,Python,15
374,N,Apple,13
375,-,Photo,11
376,B,Free,2
377,C,Sony,66351737
378,N,Book,5
379,A,Python,1
380,N,Python,7
381,A,Fantacy,5
382,B,Photo,3
383,C,Free,8
384,-,Python,7
385,B,Book,11
386,A,Doll,2
387,N,Camera,8
388,B,Python,9
389,C,Python,6
390,B,Python,5
391,-,Openmpi,12
392,N,Apple,7
393,A,Free,7
394,B,Doll,13
395,A,Fantacy,13
396,C,Fantacy,8
397,A,Openmpi,1092109
398,B,Doll,2
399,B,Apple,66351737
400,C,Fantacy,5
401,C,Free,37298
402,-,Fantacy,4
403,N,Sony,1
404,A,Free,14
405,-,Python,37298
406,N,Doll,1092109
407,A,Python,9
408,N,Book,10
409,-,Sony,3
410,-,Camera,7
411,B,Book,8
412,N,Apple,10
413,N,Python,23912
414,C,Doll,4
415,-,Openmpi,3
416,B,Book,10
417,B,Fantacy,10
418,B,Apple,10
419,-,Python,9
420,A,Apple,66351737
421,C,Doll,14
422,N,Fantacy,1092109
423,B,Sony,6
424,C,Photo,15
425,C,Python,13
426,B,Camera,3
427,C,Openmpi,8
428,N,Camera,23912
429,-,Sony,5
430,A,Python,12
431,-,Doll,14
432,-,Fantacy,1
433,N,Fantacy,13
434,A,Fantacy,3000000
435,-,Apple,1092109
436,-,Sony,1092109
437,B,Doll,66351737
438,-,Openmpi,6
439,B,Fantacy,12
440,N,Openmpi,13
441,B,Python,12
442,N,Sony,9
443,C,Fantacy,3000000
444,A,Openmpi,9
445,B,Free,37298
446,B,Book,23912
447,B,Doll,37298
448,A,Apple,13
449,A,Free,6
450,A,Sony,14
451,-,Free,2
452,B,Free,4
453,-,Python,9
454,C,Sony,6
455,-,Doll,8
456,C,Sony,3
457,N,Book,66351737
458,B,Fantacy,66351737
459,B,Book,3
460,B,Openmpi,13
461,C,Camera,1
462,-,Fantacy,14
463,B,Openmpi,3
464,-,Doll,14
465,A,Photo,3
466,-,Photo,7
467,C,Sony,3000000
468,A,Doll,1092109
469,B,Doll,1
470,-,Photo,23912
471,N,Photo,3000000
472,C,Camera,6
473,B,Openmpi,15
474,A,Fantacy,10
475,C,Book,9
476,A,Free,14
477,-,Doll,23912
478,-,Openmpi,12
479,C,Apple,10
480,-,Apple,14
481,C,Photo,14
482,N,Camera,5
483,C,Openmpi,1092109
484,C,Fantacy,1092109
485,C,Openmpi,1092109
486,N,Apple,8
487,A,Free,2
488,B,Python,9
489,C,Openmpi,14
490,B,Doll,13
491,A,Openmpi,1092109
492,-,Photo,3
493,N,Photo,37298
494,B,Sony,1092109
495,-,Sony,5
496,B,Photo,3
497,N,Camera,15
498,C,Photo,11
499,C,Python,37298
500,B,Apple,23912
501,C,Sony,66351737
502,-,Doll,3000000
503,B,Apple,66351737
504,B,Fantacy,1092109
505,C,Fantacy,4
506,N,Doll,13
507,B,Sony,1092109
508,C,Free,10
509,A,Photo,12
510,B,Apple,11
511,A,Camera,37298
512,N,Openmpi,2
513,C,Doll,10
514,A,Book,1092109
515,A,Photo,4
516,B,Photo,9
517,A,Fantacy,1092109
518,A,Photo,3
519,B,Apple,3
520,B,Free,4
521,A,Openmpi,12
522,N,Camera,8
523,-,Free,1
524,C,Sony,6
525,N,Free,1092109
526,A,Apple,5
527,N,Openmpi,5
528,B,Apple,2
529,A,Camera,66351737
530,-,Free,6
531,-,Python,2
532,C,Openmpi,10
533,-,Sony,1092109
534,-,Openmpi,3000000
535,C,Photo,37298
536,C,Free,1
537,N,Camera,13
538,B,Apple,1
539,B,Sony,37298
540,N,Book,3000000
541,A,Sony,15
542,C,Doll,4
543,N,Apple,37298
544,C,Openmpi,66351737
545,A,Sony,23912
546,-,Apple,3
547,-,Photo,10
548,-,Apple,1
549,A,Sony,66351737
550,C,Fantacy,9
551,-,Camera,8
552,C,Apple,1
553,A,Book,4
554,-,Openmpi,4
555,-,Photo,9
556,-,Camera,13
557,A,Fantacy,13
558,N,Photo,6
559,C,Python,9
560,B,Free,1
561,N,Sony,4
562,B,Free,14
563,B,Apple,2
564,-,Apple,14
565,B,Book,11
566,A,Doll,10
567,A,Openmpi,3000000
568,N,Doll,1092109
569,B,Openmpi,1092109
570,A,Sony,6
571,-,Camera,23912
572,B,Apple,66351737
573,C,Doll,2
574,N,Apple,1
575,B,Free,37298
576,C,Openmpi,3
577,B,Photo,8
578,B,Python,1
579,C,Sony,1092109
580,-,Apple,10
581,-,Apple,12
582,A,Apple,37298
583,N,Free,2
584,-,Doll,37298
585,-,Fantacy,8
586,C,Openmpi,9
587,C,Apple,9
588,-,Doll,3
589,A,Python,13
590,C,Free,4
591,-,Free,13
592,A,Doll,11
593,N,Doll,3
594,A,Python,12
595,A,Openmpi,1
596,A,Fantacy,3
597,C,Doll,37298
598,A,Sony,5
599,N,Photo,12
600,A,Openmpi,14
601,A,Photo,10
602,-,Sony,3
603,A,Python,12
604,N,Openmpi,2
605,C,Camera,7
606,A,Sony,9
607,N,Fantacy,1092109
608,N,Free,8
609,B,Photo,4
610,N,Apple,2
611,B,Book,13
612,A,Camera,5
613,C,Book,11
614,B,Camera,14
615,A,Free,23912
616,N,Python,10
617,B,Photo,13
618,A,Sony,11
619,C,Doll,9
620,B,Book,13
621,N,Doll,23912
622,B,Openmpi,9
623,C,Fantacy,1092109
624,B,Book,10
625,B,Photo,23912
626,-,Camera,6
627,B,Python,15
628,B,Book,4
629,-,Camera,3000000
630,A,Photo,13
631,B,Python,2
632,C,Free,15
633,N,Apple,2
634,C,Python,14
635,B,Free,5
636,A,Python,14
637,N,Photo,12
638,N,Camera,10
639,A,Doll,9
640,-,Apple,15
641,B,Free,3000000
642,B,Openmpi,14
643,-,Doll,1
644,C,Book,8
645,B,Apple,6
646,N,Photo,37298
647,N,Python,2
648,C,Free,23912
649,B,Fantacy,8
650,C,Photo,7
651,-,Book,3
652,-,Sony,5
653,B,Fantacy,14
654,B,Fantacy,1
655,A,Photo,13
656,A,Free,37298
657,C,Apple,66351737
658,C,Apple,5
659,B,Fantacy,2
660,C,Fantacy,7
661,A,Book,1092109
662,B,Camera,11
663,N,Openmpi,1
664,C,Fantacy,12
665,C,Python,23912
666,N,Openmpi,14
667,A,Fantacy,23912
668,A,Openmpi,37298
669,B,Camera,12
670,-,Camera,8
671,C,Sony,1092109
672,A,Python,1092109
673,N,Photo,8
674,C,Doll,7
675,N,Sony,11
676,-,Photo,4
677,-,Python,8
678,-,Free,1
679,A,Book,14
680,N,Apple,12
681,-,Apple,8
682,-,Python,23912
683,-,Apple,37298
684,-,Openmpi,2
685,A,Photo,2
686,-,Apple,1
687,A,Apple,14
688,C,Sony,8
689,-,Fantacy,4
690,N,Apple,15
691,-,Openmpi,3
692,B,Book,1092109
693,-,Python,1
694,B,Free,37298
695,B,Free,7
696,C,Doll,10
697,-,Photo,3000000
698,C,Apple,9
699,N,Python,4
700,-,Book,9
701,B,Camera,13
702,B,Free,3
703,B,Photo,66351737
704,-,Apple,7
705,A,Free,7
706,A,Camera,6
707,B,Camera,7
708,B,Doll,5
709,C,Doll,11
710,-,Photo,6
711,N,Fantacy,15
712,C,Camera,2
713,B,Camera,3000000
714,N,Sony,15
715,-,Camera,9
716,B,Photo,37298
717,A,Book,66351737
718,C,Fantacy,6
719,-,Apple,3000000
720,N,Sony,66351737
721,C,Doll,11
722,N,Free,66351737
723,B,Book,66351737
724,A,Photo,5
725,C,Camera,3
726,A,Photo,11
727,A,Fantacy,12
728,A,Apple,1092109
729,C,Sony,66351737
730,A,Fantacy,37298
731,C,Camera,3
732,-,Photo,15
733,-,Photo,5
734,N,Apple,12
735,C,Photo,66351737
736,A,Sony,4
737,C,Camera,10
738,C,Doll,8
739,C,Free,14
740,N,Fantacy,1092109
741,B,Camera,15
742,B,Camera,3
743,C,Camera,4
744,C,Sony,6
745,N,Doll,12
746,C,Photo,37298
747,-,Python,7
748,N,Apple,2
749,C,Free,12
750,B,Fantacy,7
751,A,Apple,7
752,A,Python,23912
753,A,Fantacy,37298
754,C,Sony,5
755,A,Doll,10
756,N,Doll,6
757,N,Free,11
758,-,Sony,15
759,A,Openmpi,3000000
760,N,Doll,23912
761,C,Fantacy,12
762,-,Apple,9
763,N,Fantacy,3
764,B,Openmpi,66351737
765,A,Camera,5
766,B,Photo,5
767,C,Book,3
768,A,Fantacy,4
769,-,Python,9
770,C,Fantacy,5
771,-,Camera,66351737
772,N,Fantacy,1092109
773,A,Photo,13
774,A,Doll,10
775,A,Python,11
776,A,Openmpi,3
777,B,Free,66351737
778,C,Doll,13
779,N,Apple,14
780,B,Apple,2
781,N,Python,15
782,C,Doll,66351737
783,B,Openmpi,3
784,C,Doll,37298
785,B,Python,4
786,-,Sony,11
787,N,Openmpi,8
788,A,Fantacy,37298
789,B,Python,14
790,B,Free,13
791,C,Sony,4
792,N,Sony,1
793,-,Fantacy,4
794,-,Camera,4
795,N,Free,5
796,N,Book,11
797,A,Photo,9
798,B,Camera,15
799,C,Fantacy,7
800,N,Python,6
801,N,Sony,8
802,C,Python,23912
803,A,Python,15
804,B,Apple,1
805,A,Sony,37298
806,A,Free,37298
807,N,Fantacy,13
808,-,Python,8
809,B,Photo,66351737
810,B,Free,13
811,B,Doll,15
812,C,Python,4
813,C,Book,66351737
814,-,Free,11
815,A,Camera,37298
816,N,Fantacy,23912
817,A,Sony,7
818,-,Sony,12
819,A,Camera,10
820,-,Doll,13
821,A,Sony,4
822,N,Book,3
823,N,Apple,12
824,N,Free,3000000
825,N,Sony,1
826,A,Camera,6
827,-,Apple,10
828,-,Openmpi,8
829,C,Sony,5
830,B,Camera,12
831,A,Camera,5
832,C,Free,14
833,C,Openmpi,5
834,A,Openmpi,3000000
835,-,Camera,8
836,N,Camera,5
837,-,Free,66351737
838,-,Doll,23912
839,N,Openmpi,12
840,C,Free,7
841,A,Sony,1092109
842,C,Fantacy,15
843,-,Python,6
844,B,Apple,1
845,N,Openmpi,37298
846,C,Fantacy,1
847,A,Python,11
848,C,Photo,11
849,N,Camera,4
850,C,Python,12
851,-,Fantacy,23912
852,N,Book,7
853,B,Python,14
854,B,Camera,5
855,B,Python,23912
856,C,Camera,13
857,C,Book,13
858,A,Openmpi,5
859,N,Fantacy,5
860,B,Photo,1092109
861,A,Free,1
862,A,Doll,3
863,C,Python,10
864,C,Camera,66351737
865,B,Doll,8
866,B,Python,8
867,B,Sony,5
868,A,Doll,37298
869,N,Camera,6
870,-,Sony,10
871,B,Openmpi,1092109
872,C,Sony,6
873,A,Free,37298
874,N,Apple,37298
875,B,Photo,9
876,B,Python,7
877,B,Camera,2
878,N,Fantacy,7
879,C,Book,10
880,N,Apple,13
881,N,Apple,5
882,N,Openmpi,8
883,N,Fantacy,3
884,N,Sony,3000000
885,N,Doll,10
886,C,Book,12
887,N,Python,66351737
888,A,Book,8
889,-,Camera,13
890,B,Apple,10
891,A,Free,23912
892,-,Free,4
893,A,Camera,10
894,A,Camera,8
895,B,Apple,9
896,C,Apple,6
897,A,Openmpi,5
898,N,Apple,66351737
899,-,Fantacy,23912
900,A,Doll,13
901,-,Apple,13
902,-,Fantacy,2
903,N,Apple,12
904,N,Openmpi,15
905,B,Sony,1092109
906,-,Photo,12
907,B,Fantacy,6
908,N,Camera,13
909,B,Python,15
910,N,Free,7
911,C,Fantacy,1
912,-,Python,5
913,N,Camera,12
914,C,Free,66351737
915,C,Photo,5
916,B,Photo,12
917,N,Fantacy,14
918,A,Free,9
919,A,Free,7
920,B,Python,10
921,B,Photo,1
922,-,Fantacy,8
923,N,Python,3
924,A,Python,6
925,N,Fantacy,23912
926,A,Photo,1
927,B,Doll,1092109
928,A,Fantacy,4
929,C,Photo,8
930,C,Doll,4
931,B,Photo,3000000
932,-,Sony,11
933,C,Fantacy,23912
934,C,Free,14
935,C,Free,10
936,-,Book,8
937,N,Openmpi,11
938,C,Camera,23912
939,-,Photo,13
940,N,Sony,9
941,-,Doll,3000000
942,C,Camera,3000000
943,A,Free,13
944,A,Doll,14
945,-,Python,23912
946,-,Python,9
947,-,Camera,3
948,B,Book,10
949,N,Openmpi,11
950,B,Python,15
951,N,Apple,4
952,N,Apple,3000000
953,A,Photo,7
954,-,Camera,1
955,B,Camera,11
956,-,Free,3
957,B,Camera,14
958,C,Doll,9
959,A,Free,15
960,N,Free,13
961,N,Openmpi,10
962,A,Python,1
963,N,Sony,3
964,B,Doll,10
965,A,Python,14
966,C,Apple,9
967,N,Photo,3
968,-,Book,15
969,B,Python,66351737
970,A,Doll,10
971,C,Openmpi,5
972,B,Apple,10
973,N,Camera,37298
974,B,Apple,6
975,-,Doll,13
976,N,Book,37298
977,N,Sony,15
978,B,Sony,12
979,C,Apple,5
980,C,Photo,1092109
981,B,Fantacy,6
982,-,Apple,11
983,B,Openmpi,2
984,A,Sony,23912
985,A,Apple,15
986,C,Free,5
987,-,Camera,3000000
988,A,Python,3
989,N,Python,6
990,C,Photo,23912
991,A,Camera,6
992,-,Camera,9
993,N,Apple,13
994,A,Photo,4
995,A,Sony,3000000
996,C,Apple,13
997,C,Camera,9
998,B,Apple,5
999,A,Python,5
1000,-,Doll,66351737
1001,C,Camera,8
1002,N,Camera,3000000
1003,A,Fantacy,37298
1004,-,Python,6
1005,N,Openmpi,37298
1006,C,Doll,13
1007,N,Doll,6
1008,B,Sony,7
1009,B,Doll,7
1010,N,Photo,1092109
1011,-,Photo,11
1012,A,Camera,7
1013,C,Sony,14
1014,N,Book,3
1015,B,Openmpi,8
1016,B,Fantacy,66351737
1017,N,Camera,10
1018,A,Doll,66351737
1019,A,Photo,8
1020,B,Free,10
1021,-,Doll,66351737
1022,A,Photo,10
1023,-,Camera,14
1024,C,Camera,1092109
1025,A,Free,3
1026,N,Doll,1
1027,B,Camera,12
1028,C,Openmpi,7
1029,N,Python,2
1030,C,Openmpi,2
1031,B,Photo,3
1032,-,Doll,4
1033,C,Fantacy,15
1034,N,Python,12
1035,B,Book,8
1036,N,Fantacy,2
1037,-,Openmpi,13
1038,N,Openmpi,66351737
1039,A,Python,3
1040,-,Fantacy,9
1041,C,Openmpi,3
1042,C,Fantacy,10
1043,B,Openmpi,10
1044,C,Openmpi,3
1045,-,Openmpi,2
1046,C,Apple,13
1047,A,Doll,1092109
1048,B,Camera,1092109
1049,A,Free,66351737
1050,-,Apple,1
1051,-,Fantacy,6
1052,N,Camera,23912
1053,C,Openmpi,15
1054,B,Fantacy,5
1055,C,Apple,37298
1056,A,Fantacy,5
1057,A,Camera,8
1058,N,Book,10
1059,N,Sony,13
1060,-,Sony,11
1061,-,Photo,9
1062,C,Camera,11
1063,N,Photo,2
1064,C,Photo,3
1065,N,Python,14
1066,A,Book,12
1067,-,Book,14
1068,B,Apple,3000000
1069,B,Camera,2
1070,B,Python,2
1071,N,Apple,13
1072,N,Sony,5
1073,A,Openmpi,66351737
1074,B,Python,1092109
1075,C,Python,1
1076,B,Python,2
1077,B,Openmpi,23912
1078,C,Book,9
1079,B,Openmpi,10
1080,B,Apple,13
1081,N,Photo,6
1082,B,Doll,23912
1083,C,Openmpi,9
1084,B,Free,37298
1085,C,Free,66351737
1086,A,Doll,2
1087,N,Book,2
1088,B,Book,4
1089,N,Doll,2
1090,A,Book,8
1091,N,Python,6
1092,N,Doll,7
1093,B,Free,13
1094,-,Photo,23912
1095,B,Sony,7
1096,B,Free,1
1097,B,Camera,3000000
1098,B,Openmpi,23912
1099,B,Free,11
1100,-,Apple,8
1101,B,Openmpi,1
1102,B,Camera,4
1103,A,Openmpi,1092109
1104,B,Openmpi,1
1105,C,Python,11
1106,B,Book,6
1107,N,Fantacy,1092109
1108,C,Python,8
1109,B,Apple,3
1110,B,Camera,1
1111,C,Camera,1092109
1112,N,Free,13
1113,-,Python,3
1114,-,Free,1
1115,B,Free,13
1116,N,Python,5
1117,N,Apple,12
1118,C,Photo,12
1119,N,Free,11
1120,C,Apple,8
1121,B,Book,14
1122,N,Doll,2
1123,B,Photo,8
1124,C,Apple,11
1125,C,Free,66351737
1126,C,Fantacy,4
1127,C,Book,9
1128,C,Book,8
1129,B,Doll,13
1130,-,Free,14
1131,-,Apple,7
1132,N,Photo,2
1133,C,Book,14
1134,C,Python,15
1135,B,Python,23912
1136,A,Openmpi,4
1137,B,Apple,1092109
1138,N,Book,13
1139,-,Sony,37298
1140,B,Book,66351737
1141,A,Openmpi,14
1142,A,Photo,9
1143,C,Camera,7
1144,C,Fantacy,6
1145,A,Doll,15
1146,C,Sony,1
1147,N,Sony,12
1148,-,Book,11
1149,C,Photo,9
1150,-,Free,11
1151,A,Book,15
1152,-,Openmpi,4
1153,-,Fantacy,3
1154,-,Openmpi,10
1155,B,Sony,1092109
1156,A,Free,11
1157,N,Photo,3
1158,N,Openmpi,12
1159,A,Doll,2
1160,-,Camera,12
1161,-,Openmpi,2
1162,-,Apple,15
1163,A,Book,5
1164,A,Free,4
1165,A,Book,6
1166,N,Doll,13
1167,N,Python,5
1168,B,Doll,1
1169,A,Camera,11
1170,A,Apple,15
1171,A,Openmpi,11
1172,-,Openmpi,3
1173,-,Doll,66351737
1174,-,Free,3000000
1175,C,Free,12
1176,N,Apple,14
1177,-,Sony,3000000
1178,N,Doll,9
1179,C,Photo,8
1180,-,Openmpi,5
1181,-,Fantacy,12
1182,C,Apple,14
1183,A,Apple,10
1184,B,Sony,10
1185,-,Python,23912
1186,C,Photo,14
1187,B,Openmpi,6
1188,-,Apple,37298
1189,-,Book,37298
1190,N,Openmpi,2
1191,C,Free,13
1192,N,Photo,6
1193,-,Sony,3
1194,N,Book,9
1195,-,Free,12
1196,B,Openmpi,66351737
1197,A,Free,1092109
1198,-,Python,10
1199,C,Free,11
1200,B,Python,8
1201,B,Free,3000000
1202,B,Camera,10
1203,A,Openmpi,9
1204,-,Openmpi,5
1205,B,Python,66351737
1206,B,Free,8
1207,C,Book,2
1208,A,Apple,4
1209,B,Free,66351737
1210,C,Photo,3
1211,C,Openmpi,11
1212,A,Camera,3000000
1213,B,Free,1
1214,N,Fantacy,12
1215,C,Photo,5
1216,B,Fantacy,37298
1217,B,Sony,8
1218,A,Openmpi,23912
1219,A,Fantacy,3
1220,-,Free,66351737
1221,C,Sony,8
1222,-,Openmpi,37298
1223,A,Free,2
1224,A,Camera,5
1225,A,Free,9
1226,-,Fantacy,1092109
1227,-,Photo,23912
1228,A,Photo,4
1229,A,Free,3000000
1230,B,Doll,15
1231,C,Openmpi,14
1232,A,Photo,12
1233,C,Apple,2
1234,B,Openmpi,37298
1235,B,Photo,13
1236,A,Free,66351737
1237,N,Book,12
1238,A,Fantacy,5
1239,C,Apple,7
1240,N,Book,23912
1241,C,Book,66351737
1242,B,Doll,3000000
1243,B,Openmpi,66351737
1244,B,Fantacy,7
1245,B,Camera,5
1246,C,Python,1092109
1247,N,Doll,66351737
1248,B,Free,8
1249,-,Openmpi,3000000
1250,A,Fantacy,2
1251,-,Camera,66351737
1252,-,Apple,2
1253,C,Camera,10
1254,C,Free,13
1255,B,Python,8
1256,A,Photo,12
1257,-,Doll,14
1258,B,Camera,2
1259,-,Free,1
1260,A,Python,1092109
1261,N,Sony,4
1262,A,Book,14
1263,C,Camera,1
1264,A,Sony,66351737
1265,A,Doll,13
1266,N,Photo,4
1267,A,Doll,23912
1268,A,Fantacy,7
1269,-,Free,3000000
1270,N,Sony,23912
1271,-,Python,4
1272,B,Doll,9
1273,N,Doll,7
1274,B,Sony,10
1275,-,Photo,6
1276,A,Sony,3000000
1277,A,Python,3
1278,B,Book,1092109
1279,C,Python,23912
1280,-,Photo,9
1281,B,Openmpi,12
1282,-,Photo,9
1283,-,Fantacy,3
1284,B,Doll,15
1285,B,Camera,1092109
1286,N,Sony,12
1287,-,Free,3
1288,-,Python,4
1289,B,Apple,23912
1290,B,Apple,11
1291,C,Camera,9
1292,-,Apple,14
1293,-,Doll,1092109
1294,-,Fantacy,2
1295,B,Book,37298
1296,-,Book,1
1297,A,Camera,15
1298,A,Free,6
1299,B,Book,3000000
1300,C,Python,12
1301,C,Apple,10
1302,N,Doll,5
1303,N,Photo,11
